,index,CUBE NAME,Cube Type,cardID,addedTmsp,added_to_cube_on,details_released_at,details_name,details_full_name,details_artist,details_rarity,details_color_identity,details_colors,details_set,details_cmc,details_parsed_cost,details_type,details_elo,details_popularity,details_cubeCount,details_loyalty,details_power,details_toughness,is_creature,is_land,is_pwer,days_until_added_to_cube
11,11,Salt and Pauper cube,Cali Cube Champ,2c7c2b5c-634a-4d83-81bc-c6128e3ac339,1632349553363,2021-09-22 22:25:53.363000+00:00,2016-06-10,Coalition Honor Guard,Coalition Honor Guard [ema-6],Eric Peterson,common,['W'],['W'],ema,4,"['w', '3']",Creature — Human Flagbearer,1188.2000000000203,2.1184792474032244,2941,,2,4,True,False,False,1930
12,12,Salt and Pauper cube,Cali Cube Champ,a9151422-8df1-409c-a686-0cd89247eb43,1632349553363,2021-09-22 22:25:53.363000+00:00,2014-06-06,Custodi Squire,Custodi Squire [cns-18],Alex Horley-Orlandelli,common,['W'],['W'],cns,5,"['w', '4']",Creature — Spirit Cleric,1284.3000000001373,2.912999005949894,4044,,3,3,True,False,False,2665
13,13,Salt and Pauper cube,Cali Cube Champ,6c5309f5-8b32-4a57-99f2-dcf7a8341898,1632349553363,2021-09-22 22:25:53.363000+00:00,2002-05-27,Phantom Nomad,Phantom Nomad [jud-17],Jim Nelson,common,['W'],['W'],jud,2,"['w', '1']",Creature — Spirit Nomad,1227.1000000000283,1.063921743765577,1477,,0,0,True,False,False,7058
14,14,Salt and Pauper cube,Cali Cube Champ,b12a4d17-68e6-4133-99fd-e501e24e6c6b,1632349553363,2021-09-22 22:25:53.363000+00:00,2020-09-25,Dauntless Unity,Dauntless Unity [znr-9],Josu Hernaiz,common,['W'],['W'],znr,2,"['w', '1']",Instant,1136.0999999999644,0.942186622102488,1308,,,,False,False,False,362
15,15,Salt and Pauper cube,Cali Cube Champ,c843ccbe-df68-4cc1-b403-124afb037e0c,1632349553363,2021-09-22 22:25:53.363000+00:00,2014-06-06,Doomed Traveler,Doomed Traveler [cns-69],Lars Grant-West,common,['W'],['W'],cns,1,['w'],Creature — Human Soldier,1283.2000000006108,10.199098151643064,14159,,1,1,True,False,False,2665
16,16,Salt and Pauper cube,Cali Cube Champ,6bda0b4b-ab5a-4d91-9dd1-7a5a145b67f5,1632349655904,2021-09-22 22:27:35.904000+00:00,2009-07-17,Elite Vanguard,Elite Vanguard [m10-9],Mark Tedin,uncommon,['W'],['W'],m10,1,['w'],Creature — Human Soldier,1222.8000000001575,3.4330744961318485,4766,,2,1,True,False,False,4450
17,17,Salt and Pauper cube,Cali Cube Champ,7be5092f-cd24-4aea-824e-67b9767019b2,1632349655904,2021-09-22 22:27:35.904000+00:00,2021-04-23,Ephemerate,Ephemerate [sta-5],Rovina Cai,rare,['W'],['W'],sta,1,['w'],Instant,1308.9000000002734,16.882284298330283,23437,,,,False,False,False,152
18,18,Salt and Pauper cube,Cali Cube Champ,ed03df49-7ea7-40ca-96d6-3907d75cc8e3,1632349655904,2021-09-22 22:27:35.904000+00:00,2019-10-04,Faerie Guidemother,Faerie Guidemother [eld-274],Chuck Lukacs,common,['W'],['W'],eld,1,"['w', '1', 'split', 'w']",Creature — Faerie,1187.1000000003103,5.137366199415095,7132,,1,1,True,False,False,719
19,19,Salt and Pauper cube,Cali Cube Champ,1c8e887e-bf53-44e3-b3e5-d00d8974d0b3,1632349655904,2021-09-22 22:27:35.904000+00:00,2018-12-07,Faith's Fetters,Faith's Fetters [uma-16],Kev Walker,common,['W'],['W'],uma,4,"['w', '3']",Enchantment — Aura,1304.4000000007688,11.338654142595768,15741,,,,False,False,False,1020
20,20,Salt and Pauper cube,Cali Cube Champ,e388c433-3a37-45f6-825a-d13d2223b6f7,1632349655904,2021-09-22 22:27:35.904000+00:00,2018-07-13,Gallant Cavalry,Gallant Cavalry [m19-12],Craig J Spearing,common,['W'],['W'],m19,4,"['w', '3']",Creature — Human Knight,1217.7000000001294,2.0968694624926165,2911,,2,2,True,False,False,1167
21,21,Salt and Pauper cube,Cali Cube Champ,da46c734-a37c-4eb3-bfa9-10cee00ab1d0,1632349815870,2021-09-22 22:30:15.870000+00:00,2012-01-01,Gather the Townsfolk,Gather the Townsfolk [pw12-79],Bud Cook,rare,['W'],['W'],pw12,2,"['w', '1']",Sorcery,1187.100000000287,4.198781208131042,5829,,,,False,False,False,3552
22,22,Salt and Pauper cube,Cali Cube Champ,1c71eb81-a077-4c85-a4ce-4ad664486bee,1632349815870,2021-09-22 22:30:15.870000+00:00,2011-07-15,Gideon's Lawkeeper,Gideon's Lawkeeper [m12-18],Steve Prescott,common,['W'],['W'],m12,1,['w'],Creature — Human Soldier,1241.000000000292,4.782245400717445,6639,,1,1,True,False,False,3722
23,23,Salt and Pauper cube,Cali Cube Champ,57e547cd-eba4-4a75-9c4e-8eeb6e00ddc4,1632349815870,2021-09-22 22:30:15.870000+00:00,2021-04-23,Gods Willing,Gods Willing [sta-7],Dominik Mayer,rare,['W'],['W'],sta,1,['w'],Instant,1188.300000000323,6.686787777505654,9283,,,,False,False,False,152
24,24,Salt and Pauper cube,Cali Cube Champ,b6a7508c-2815-40eb-92f7-3e66dfb28484,1632349815870,2021-09-22 22:30:15.870000+00:00,2007-10-12,Goldmeadow Harrier,Goldmeadow Harrier [lrw-17],Steve Prescott,common,['W'],['W'],lrw,1,['w'],Creature — Kithkin Soldier,1261.5000000001871,2.243095673721061,3114,,1,1,True,False,False,5094
25,25,Salt and Pauper cube,Cali Cube Champ,c8dd004b-01e4-4fe1-a164-9f2ea8d7d88e,1632349815870,2021-09-22 22:30:15.870000+00:00,2006-05-05,Guardian of the Guildpact,Guardian of the Guildpact [dis-10],Fred Hooper,common,['W'],['W'],dis,4,"['w', '3']",Creature — Spirit,1373.2000000000041,2.382838949476323,3308,,2,3,True,False,False,5619
26,26,Salt and Pauper cube,Cali Cube Champ,7ea54b97-9182-4d46-9d70-3cc7f9b18ada,1632349815870,2021-09-22 22:30:15.870000+00:00,2014-07-18,Heliod's Pilgrim,Heliod's Pilgrim [m15-14],Izzy,common,['W'],['W'],m15,3,"['w', '2']",Creature — Human Cleric,1243.700000000278,3.644850388255802,5060,,1,2,True,False,False,2623
27,27,Salt and Pauper cube,Cali Cube Champ,8c31b8e5-2349-4119-9dc2-3e41c5364a78,1632349815870,2021-09-22 22:30:15.870000+00:00,2018-10-05,Hunted Witness,Hunted Witness [grn-15],David Palumbo,common,['W'],['W'],grn,1,['w'],Creature — Human,1221.7000000001378,3.7212049616066154,5166,,1,1,True,False,False,1083
28,28,Salt and Pauper cube,Cali Cube Champ,09cfe585-8a55-4b27-89e0-dfb6946fe1f3,1632349815870,2021-09-22 22:30:15.870000+00:00,2009-10-02,Journey to Nowhere,Journey to Nowhere [zen-14],Warren Mahy,common,['W'],['W'],zen,2,"['w', '1']",Enchantment,1374.2000000003775,9.20000576260931,12772,,,,False,False,False,4373
29,29,Salt and Pauper cube,Cali Cube Champ,d7501662-1216-4e08-bd2b-e0a459057942,1632349815870,2021-09-22 22:30:15.870000+00:00,2017-03-17,Kor Skyfisher,Kor Skyfisher [mm3-11],Dan Scott,common,['W'],['W'],mm3,2,"['w', '1']",Creature — Kor Soldier,1241.3999999999353,7.662109403137741,10637,,2,3,True,False,False,1650
30,30,Salt and Pauper cube,Cali Cube Champ,1c7fffe8-709c-4cb4-bbad-e4a0c35b616a,1632350175282,2021-09-22 22:36:15.282000+00:00,2007-10-12,Oblivion Ring,Oblivion Ring [lrw-34],Wayne England,common,['W'],['W'],lrw,3,"['w', '2']",Enchantment,1312.9000000012898,17.739472433117715,24627,,,,False,False,False,5094
31,31,Salt and Pauper cube,Cali Cube Champ,0d79ba7e-82a8-44ec-b72d-3cdd81126bfa,1632350175282,2021-09-22 22:36:15.282000+00:00,2017-12-08,Ordinary Pony,Ordinary Pony [ust-17],Andrea Radeck,common,['W'],['W'],ust,3,"['w', '2']",Host Creature — Horse,1238.3000000000372,1.1201071845331567,1555,,2,3,True,False,False,1384
32,32,Salt and Pauper cube,Cali Cube Champ,8ee69a1f-aeed-4eb4-8987-fa720fc99715,1680889689448,2023-04-07 17:48:09.448000+00:00,2023-02-03,Planar Disruption,Planar Disruption [one-28],Campbell White,common,['W'],['W'],one,2,"['w', '1']",Enchantment — Aura,1334.5999999999863,0.9263394465013758,1286,,,,False,False,False,63
33,33,Salt and Pauper cube,Cali Cube Champ,efd85985-abc1-430a-9210-63109c90a82d,1632350175282,2021-09-22 22:36:15.282000+00:00,2019-08-23,Prismatic Strands,Prismatic Strands [c19-69],GrafitArt,common,['W'],['W'],c19,3,"['w', '2']",Instant,1182.1000000000013,2.251019261521617,3125,,,,False,False,False,761
34,34,Salt and Pauper cube,Cali Cube Champ,3a74f052-05f7-4e5e-a765-7882a00d0f6a,1632350175282,2021-09-22 22:36:15.282000+00:00,2014-07-18,Raise the Alarm,Raise the Alarm [m15-26],Zoltan Boros,common,['W'],['W'],m15,2,"['w', '1']",Instant,1235.100000000535,10.434644807168686,14486,,,,False,False,False,2623
35,35,Salt and Pauper cube,Cali Cube Champ,6384e266-d0dc-4af1-b3ab-ecaf9be2553c,1632350175282,2021-09-22 22:36:15.282000+00:00,2019-06-14,Rhox Veteran,Rhox Veteran [mh1-24],Milivoj Ćeran,common,['W'],['W'],mh1,4,"['w', '3']",Creature — Rhino Soldier,1244.3999999998418,2.6428766945673,3669,,2,4,True,False,False,831
36,36,Salt and Pauper cube,Cali Cube Champ,f29943bb-aa89-443b-96b7-8f6f24672a9d,1632350175282,2021-09-22 22:36:15.282000+00:00,2015-01-23,Sandsteppe Outcast,Sandsteppe Outcast [frf-25],Wesley Burt,common,['W'],['W'],frf,3,"['w', '2']",Creature — Human Warrior,1244.2000000001797,2.784060622649936,3865,,2,1,True,False,False,2434
37,37,Salt and Pauper cube,Cali Cube Champ,e79d52e0-dfa6-4ac0-909e-81d1a16b84b4,1632350175282,2021-09-22 22:36:15.282000+00:00,2023-01-13,Savannah Lions,Savannah Lions [dmr-270],Winona Nelson,common,['W'],['W'],dmr,1,['w'],Creature — Cat,1230.5000000002606,4.791609640845375,6652,,2,1,True,False,False,-478
38,38,Salt and Pauper cube,Cali Cube Champ,b1e50811-048f-4dc6-a453-a5e36f3eb0a0,1632350175282,2021-09-22 22:36:15.282000+00:00,2015-07-17,Seeker of the Way,Seeker of the Way [cp3-2],Magali Villeneuve,uncommon,['W'],['W'],cp3,2,"['w', '1']",Creature — Human Warrior,1236.2000000003693,8.641752985751948,11997,,2,2,True,False,False,2259
39,39,Salt and Pauper cube,Cali Cube Champ,5da345bd-8f2b-4966-97f5-c0e4c6cfe3b7,1632350175282,2021-09-22 22:36:15.282000+00:00,2012-05-04,Seraph of Dawn,Seraph of Dawn [avr-35],Todd Lockwood,common,['W'],['W'],avr,4,"['w', 'w', '2']",Creature — Angel,1279.5000000001385,2.645037673058361,3672,,2,4,True,False,False,3428
40,40,Salt and Pauper cube,Cali Cube Champ,72ed8e57-61bb-4e89-9484-ff2be800a449,1632350175282,2021-09-22 22:36:15.282000+00:00,2019-06-14,Settle Beyond Reality,Settle Beyond Reality [mh1-27],Anthony Palumbo,common,['W'],['W'],mh1,5,"['w', '4']",Sorcery,1306.7999999999784,2.9274055292236323,4064,,,,False,False,False,831
41,41,Salt and Pauper cube,Cali Cube Champ,d2429a15-ccbe-463c-9218-968709d9e878,1632350175282,2021-09-22 22:36:15.282000+00:00,2009-07-17,Stormfront Pegasus,Stormfront Pegasus [m10-35],rk post,common,['W'],['W'],m10,2,"['w', '1']",Creature — Pegasus,1268.4000000001224,2.076700329909383,2883,,2,1,True,False,False,4450
42,42,Salt and Pauper cube,Cali Cube Champ,2bafaa3b-eeaa-427f-9a73-6a1c98d257ca,1632350175282,2021-09-22 22:36:15.282000+00:00,2013-02-01,Syndic of Tithes,Syndic of Tithes [gtc-26],Steve Prescott,common,['W'],['W'],gtc,2,"['w', '1']",Creature — Human Cleric,1305.4000000001768,2.4534309135176406,3406,,2,2,True,False,False,3155
43,43,Salt and Pauper cube,Cali Cube Champ,eb406292-1879-4aa9-a369-082822dae1d7,1632350175282,2021-09-22 22:36:15.282000+00:00,2006-10-06,Temporal Isolation,Temporal Isolation [tsp-43],Stephen Tappin,common,['W'],['W'],tsp,2,"['w', '1']",Enchantment — Aura,1300.4000000002304,2.5866912537997204,3591,,,,False,False,False,5465
44,44,Salt and Pauper cube,Cali Cube Champ,e8233004-6d69-44a7-bf21-f13a5e146a1f,1632350175282,2021-09-22 22:36:15.282000+00:00,2022-10-01,Thraben Inspector,Thraben Inspector [prcq-3],Yuko Shimizu,rare,['W'],['W'],prcq,1,['w'],Creature — Human Soldier,1350.3000000019151,21.644360566464496,30048,,1,2,True,False,False,-374
45,45,Salt and Pauper cube,Cali Cube Champ,3d6498d3-bf1f-4bf1-a602-7c21fb44c106,1632350175282,2021-09-22 22:36:15.282000+00:00,2014-07-18,Triplicate Spirits,Triplicate Spirits [m15-40],Izzy,common,['W'],['W'],m15,6,"['w', 'w', '4']",Sorcery,1293.4000000001995,3.779551380865256,5247,,,,False,False,False,2623
46,46,Salt and Pauper cube,Cali Cube Champ,77bf2307-714d-429b-b9db-b1ab4395f930,1632354596132,2021-09-22 23:49:56.132000+00:00,2008-11-07,Aethersnipe,Aethersnipe [dd2-17],Zoltan Boros & Gabor Szikszai,common,['U'],['U'],dd2,6,"['u', '5']",Creature — Elemental,1201.8999999999191,3.1125293532911704,4321,,4,4,True,False,False,4702
47,47,Salt and Pauper cube,Cali Cube Champ,a9947cfd-91d6-479e-a7f6-2a2050f020f3,1632354596132,2021-09-22 23:49:56.132000+00:00,2021-02-05,Augury Raven,Augury Raven [khm-44],Jesper Ejsing,common,['U'],['U'],khm,4,"['u', '3']",Creature — Bird,1173.300000000033,1.2267154567588203,1703,,3,3,True,False,False,229
48,48,Salt and Pauper cube,Cali Cube Champ,fe479484-a827-4d3c-8e35-e905e4f6664a,1632354596132,2021-09-22 23:49:56.132000+00:00,2019-05-03,Aven Eternal,Aven Eternal [war-42],Johan Grenier,common,['U'],['U'],war,3,"['u', '2']",Creature — Zombie Bird Warrior,1276.4999999999045,2.9360494431878754,4076,,2,2,True,False,False,873
49,49,Salt and Pauper cube,Cali Cube Champ,27855a38-a682-4f97-ad22-ac625e86faec,1632354596133,2021-09-22 23:49:56.133000+00:00,2021-02-05,Behold the Multiverse,Behold the Multiverse [khm-46],Magali Villeneuve,common,['U'],['U'],khm,4,"['u', '3']",Instant,1278.5000000001087,3.907769438001527,5425,,,,False,False,False,229
50,50,Salt and Pauper cube,Cali Cube Champ,ef93ac79-8575-40f8-a222-63c2ffb30f60,1680890510265,2023-04-07 18:01:50.265000+00:00,2022-11-18,Weakstone's Subjugation,Weakstone's Subjugation [bro-72],Igor Kieryluk,common,['U'],['U'],bro,1,['u'],Enchantment — Aura,1254.2000000000132,0.42427211041159435,589,,,,False,False,False,140
51,51,Salt and Pauper cube,Cali Cube Champ,1bfba7a0-d5ca-4197-9e58-21f28345f1a6,1632354596133,2021-09-22 23:49:56.133000+00:00,2020-09-25,Bubble Snare,Bubble Snare [znr-47],Jakub Kasper,common,['U'],['U'],znr,1,['u'],Enchantment — Aura,1169.399999999855,2.2978404621612665,3190,,,,False,False,False,362
52,52,Salt and Pauper cube,Cali Cube Champ,66cef326-339c-49e5-9905-21a1603a46ae,1632354596133,2021-09-22 23:49:56.133000+00:00,2019-05-03,Callous Dismissal,Callous Dismissal [war-44],Mathias Kollros,common,['U'],['U'],war,2,"['u', '1']",Sorcery,1258.1000000000754,3.6830276749312088,5113,,,,False,False,False,873
53,53,Salt and Pauper cube,Cali Cube Champ,a51c1a95-e484-41e4-9c49-ffb115a7d1cc,1632354596134,2021-09-22 23:49:56.134000+00:00,2003-01-01,Capsize,Capsize [f03-4],Tom Wänerstrand,rare,['U'],['U'],f03,3,"['u', 'u', '1']",Instant,1245.1999999999593,4.8874130206157345,6785,,,,False,False,False,6839
54,54,Salt and Pauper cube,Cali Cube Champ,db678d7f-4d9a-450a-be92-b6aeaf06d120,1632354596134,2021-09-22 23:49:56.134000+00:00,2004-11-19,Carnivorous Death-Parrot,Carnivorous Death-Parrot [unh-29],Tim Hildebrandt,common,['U'],['U'],unh,2,"['u', '1']",Creature — Bird,1204.4000000000337,0.9846858657600162,1367,,2,2,True,False,False,6151
55,55,Salt and Pauper cube,Cali Cube Champ,e2111753-a930-403f-9d94-a86dfcb069da,1632354596134,2021-09-22 23:49:56.134000+00:00,2019-07-12,Cloudkin Seer,Cloudkin Seer [m20-54],Anastasia Ovchinnikova,common,['U'],['U'],m20,3,"['u', '2']",Creature — Elemental Wizard,1358.2999999999995,7.888291818535433,10951,,2,1,True,False,False,803
56,56,Salt and Pauper cube,Cali Cube Champ,2c358d75-01ad-4487-8104-425124b96aae,1632354596134,2021-09-22 23:49:56.134000+00:00,2021-06-18,Counterspell,Counterspell [mh2-308],Ryan Yee,rare,['U'],['U'],mh2,2,"['u', 'u']",Instant,1471.300000003935,28.63728696353709,39756,,,,False,False,False,96
57,57,Salt and Pauper cube,Cali Cube Champ,aeb359c8-209c-455f-84b2-970e5678a9fa,1680896888412,2023-04-07 19:48:08.412000+00:00,2000-10-02,Exclude,Exclude [inv-56],Mark Romanoski,common,['U'],['U'],inv,3,"['u', '2']",Instant,1249.7999999998476,5.297278607753591,7354,,,,False,False,False,8222
58,58,Salt and Pauper cube,Cali Cube Champ,501599d6-1072-4124-b05d-01f96de153f3,1632354596135,2021-09-22 23:49:56.135000+00:00,2021-06-18,Hard Evidence,Hard Evidence [mh2-46],Yeong-Hao Han,common,['U'],['U'],mh2,1,['u'],Sorcery,1320.9000000005915,5.023554665552562,6974,,,,False,False,False,96
59,59,Salt and Pauper cube,Cali Cube Champ,8ab850c5-6f5e-41b7-ab52-094579caca12,1632354596135,2021-09-22 23:49:56.135000+00:00,2016-07-22,Displace,Displace [emn-55],Clint Cearley,common,['U'],['U'],emn,3,"['u', '2']",Instant,1282.400000000097,2.589572558454468,3595,,,,False,False,False,1888
60,60,Salt and Pauper cube,Cali Cube Champ,9c9c1a10-446e-492a-95cc-a459dc6c08a0,1632354596136,2021-09-22 23:49:56.136000+00:00,2015-10-02,Eldrazi Skyspawner,Eldrazi Skyspawner [bfz-58],Chase Stone,common,['U'],[],bfz,3,"['u', '2']",Creature — Eldrazi Drone,1251.400000000002,2.931007160042067,4069,,2,1,True,False,False,2182
61,61,Salt and Pauper cube,Cali Cube Champ,398c26cc-cd55-42c6-a744-aaefd7018960,1632354596136,2021-09-22 23:49:56.136000+00:00,2006-10-06,Errant Ephemeron,Errant Ephemeron [tsp-60],Luca Zontini,common,['U'],['U'],tsp,7,"['u', '6']",Creature — Illusion,1251.0999999999433,2.153775229423883,2990,,4,4,True,False,False,5465
62,62,Salt and Pauper cube,Cali Cube Champ,fd79c9cc-0a8c-4d88-96e2-cb177134a18d,1632354596136,2021-09-22 23:49:56.136000+00:00,2021-04-23,Frost Trickster,Frost Trickster [stx-43],Uriah Voth,common,['U'],['U'],stx,3,"['u', '2']",Creature — Bird Wizard,1237.6000000002418,2.5614798380706785,3556,,2,2,True,False,False,152
63,63,Salt and Pauper cube,Cali Cube Champ,d1fcfeb4-1818-4e08-be4c-27b8a9dc12e6,1632354596136,2021-09-22 23:49:56.136000+00:00,2019-06-14,Faerie Seer,Faerie Seer [mh1-51],Colin Boyer,common,['U'],['U'],mh1,1,['u'],Creature — Faerie Wizard,1288.80000000015,6.6997536484520195,9301,,1,1,True,False,False,831
64,64,Salt and Pauper cube,Cali Cube Champ,0ff68d2f-6758-45ee-8109-4e8909f49de8,1632354596136,2021-09-22 23:49:56.136000+00:00,2010-04-23,Halimar Wavewatch,Halimar Wavewatch [roe-72],Matt Stewart,common,['U'],['U'],roe,2,"['u', '1']",Creature — Merfolk Soldier,1183.6999999999953,0.9176955325371328,1274,,0,3,True,False,False,4170
65,65,Salt and Pauper cube,Cali Cube Champ,a3c2c3d7-3437-44b8-8d39-d3abe02af50e,1632354596137,2021-09-22 23:49:56.137000+00:00,2020-09-25,Into the Roil,Into the Roil [znr-387],Campbell White,common,['U'],['U'],znr,2,"['u', '1']",Instant,1247.9999999999482,9.244665984757898,12834,,,,False,False,False,362
66,66,Salt and Pauper cube,Cali Cube Champ,a7da9c9b-aeef-4f48-bc8f-39425841cc8c,1632354596137,2021-09-22 23:49:56.137000+00:00,2019-01-25,Faerie Duelist,Faerie Duelist [rna-39],Yongjae Choi,common,['U'],['U'],rna,2,"['u', '1']",Creature — Faerie Rogue,1214.899999999982,1.8425943267111349,2558,,1,2,True,False,False,971
67,67,Salt and Pauper cube,Cali Cube Champ,5eaa4199-df9b-494a-af7a-2491e8b0ef70,1632354596137,2021-09-22 23:49:56.137000+00:00,2019-06-14,Man-o'-War,Man-o'-War [mh1-55],Jon J Muth,common,['U'],['U'],mh1,3,"['u', '2']",Creature — Jellyfish,1342.8999999995713,13.942633224323973,19356,,2,2,True,False,False,831
68,68,Salt and Pauper cube,Cali Cube Champ,d736f28a-9007-458c-9b6a-f39edde23e4c,1632354596137,2021-09-22 23:49:56.137000+00:00,2002-01-01,Mana Leak,Mana Leak [pal02-5],Christopher Rush,rare,['U'],['U'],pal02,2,"['u', '1']",Instant,1473.500000002904,21.492371745926555,29837,,,,False,False,False,7204
69,69,Salt and Pauper cube,Cali Cube Champ,4b4956a2-9a39-4152-9c98-70e4b2acfa26,1632354596138,2021-09-22 23:49:56.138000+00:00,1999-02-15,Miscalculation,Miscalculation [ulg-36],Jeff Laubenstein,common,['U'],['U'],ulg,2,"['u', '1']",Instant,1387.2000000018097,13.156757379741547,18265,,,,False,False,False,8255
70,70,Salt and Pauper cube,Cali Cube Champ,0d98f0c4-021a-407a-8b0c-5500d804f959,1632354596138,2021-09-22 23:49:56.138000+00:00,2012-05-04,Mist Raven,Mist Raven [avr-67],John Avon,common,['U'],['U'],avr,4,"['u', 'u', '2']",Creature — Bird,1334.7000000000967,3.9214556351115784,5444,,2,2,True,False,False,3428
71,71,Salt and Pauper cube,Cali Cube Champ,d961c441-b76b-4bd8-b510-a3e073207a1b,1632354596138,2021-09-22 23:49:56.138000+00:00,2020-07-03,Mistral Singer,Mistral Singer [m21-58],Ryan Yee,common,['U'],['U'],m21,3,"['u', '2']",Creature — Siren,1217.1999999998786,1.6070476711855128,2231,,2,2,True,False,False,446
72,72,Salt and Pauper cube,Cali Cube Champ,a3e6784b-78e8-4f0b-8d27-d49c7cea9252,1632354596138,2021-09-22 23:49:56.138000+00:00,2017-11-17,Mnemonic Wall,Mnemonic Wall [ima-67],Trevor Claxton,common,['U'],['U'],ima,5,"['u', '4']",Creature — Wall,1286.8999999998027,4.883091063633613,6779,,0,4,True,False,False,1405
73,73,Salt and Pauper cube,Cali Cube Champ,ea86b5bf-c38f-4168-a4dd-96859948423c,1632354596138,2021-09-22 23:49:56.138000+00:00,2021-03-19,Mulldrifter,Mulldrifter [tsr-311],Eric Fortune,special,['U'],['U'],tsr,5,"['u', '4']",Creature — Elemental,1431.400000000231,23.765721118522467,32993,,2,2,True,False,False,187
